한글명,영문명(INCI),CAS번호,카테고리,주요기능,출처/설명,이명,데이터출처
순비기나무열매추출물,Vitex Trifolia Fruit Extract,,식약처 등재,,이 원료는 순비기나무 (Vitex trifoli)의 열매에서 추출한 것이다.,,B (식약처)
숯가루,Charcoal Powder,,식약처 등재,,이 원료는 유기물질을 가열하여 얻은 건조된 탄소질의 물질이다.,,B (식약처)
글리세릴카프레이트,Glyceryl Caprate,,식약처 등재,,이 원료는 다음의 구조를 갖는 글리세린과 카프릭애씨드의 모노에스터이다.,,B (식약처)
시어버터,Butyrospermum Parkii (Shea) Butter,,식약처 등재,,이 원료는 시어버터나무 Butyrospermum Parkii에서 추출한 것이다.,쉐어버터,B (식약처)
시어버터불검화물,Butyrospermum Parkii (Shea) Butter Unsaponifiables,,식약처 등재,,이 원료는 시어버터로부터 지방산을 정제 회수하는 과정에서 얻은 불검화물이다.,쉐어버터불검화물,B (식약처)
시어버터씨드케이크추출물,Butyrospermum Parkii (Shea) Seedcake Extract,,식약처 등재,,이 원료는 시어버터나무(Shea) Butyrospermum Parkii의 씨드케이크에서 추출한 것이다.,쉐어버터씨드케이크추출물,B (식약처)
시어버터오일,Butyrospermum Parkii (Shea) Oil,,식약처 등재,,이 원료는 시어버터 Butyrospermum Parkii (Shea) Butter에서 얻은 액체이다.,쉐어버터오일,B (식약처)
시어버터추출물,Butyrospermum Parkii (Shea) Butter Extract,,식약처 등재,,이 원료는 시어버터나무(Shea) Butyrospermum Parkii에서 추출한 것이다.,쉐어버터추출물,B (식약처)
쉘락,Shellac,,식약처 등재,,이 원료는 락깍지벌레 (Laccifer (Tachardia) lacca)의 수지성 분비물이다.,,B (식약처)
쉘락왁스,Shellac Wax,,식약처 등재,,이 원료는 물리적 방법으로 쉘락을 표백하여 얻은 왁스의 분획이다.,,B (식약처)
슈가켈프추출물,Laminaria Saccharina Extract,,식약처 등재,,이 원료는 슈가켈프 (Laminaria saccharina)의 엽상체에서 추출한 것이다.,,B (식약처)
슈도알테로모나스발효추출물,Pseudoalteromonas Ferment Extract,,식약처 등재,,이 원료는 (Pseudoalteromonas)의 발효물에서 추출한 것이다.,,B (식약처)
수크랄로오스,Sucralose,56038-13-2,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,슈크랄로오스,B (식약처)
글리세릴카프릴레이트,Glyceryl Caprylate,,식약처 등재,,이 원료는 다음의 구조를 갖는 글리세린과 카프릴릭애씨드의 모노에스터이다.,,B (식약처)
수크로오스,Sucrose,,식약처 등재,,이 원료는 다음의 구조를 갖는 다이사카라이드이다.,슈크로오스,B (식약처)
수크로오스다이라우레이트,Sucrose Dilaurate,,식약처 등재,,이 원료는 수크로오스와 라우릭애씨드의 다이에스터이다.,슈크로오스디라우레이트,B (식약처)
수크로오스다이스테아레이트,Sucrose Distearate,,식약처 등재,,이 원료는 주로 다이에스터로 구성된 스테아릭애씨드의 수크로오스에스터의 혼합물이다.,슈크로오스디스테아레이트,B (식약처)
수크로오스라우레이트,Sucrose Laurate,,식약처 등재,,이 원료는 주로 모노에스터로 구성된 라우릭애씨드의 수크로오스에스터의 혼합물이다.,슈크로오스라우레이트,B (식약처)
수크로오스모티어렐레이트,Sucrose Mortierellate,,식약처 등재,,이 원료는 모티어렐라오일에서 유래된 지방산과 수크로오스의 에스터이다.,슈크로오스모티어렐레이트,B (식약처)
수크로오스벤조에이트,Sucrose Benzoate,,식약처 등재,,이 원료는 다음의 구조를 갖는 다이사카라이드에스터이다.,슈크로오스벤조에이트,B (식약처)
수크로오스스테아레이트,Sucrose Stearate,,식약처 등재,,이 원료는 스테아릭애씨드와 수크로오스의 모노에스터이다.,슈크로오스스테아레이트,B (식약처)
수크로오스아세테이트아이소부티레이트,Sucrose Acetate Isobutyrate,,식약처 등재,,"이 원료는 수크로오스와 아세틱애씨드, 아이소부티릭애씨드의 혼합된 에스터이다.",슈크로오스아세테이트이소부티레이트,B (식약처)
수크로오스올리에이트,Sucrose Oleate,,식약처 등재,,이 원료는 수크로오스와 올레익애씨드의 모노에스터이다.,슈크로오스올리에이트,B (식약처)
수크로오스지방산에스터,Sucrose Fatty Acid Ester,,식약처 등재,,이 원료는 백당의 지방산에스터로 된 비이온계면활성제이다.,슈크로오스지방산에스터,B (식약처)
글리세릴코코에이트,Glyceryl Cocoate,,식약처 등재,,이 원료는 글리세린과 코코넛지방산의 모노에스터이다. 이것은 주로 RCO-기가 코코넛오일로부터 얻은 지방산을 나타내는 구조를 가지고 있다.,,B (식약처)
수크로오스테트라스테아레이트트라이아세테이트,Sucrose Tetrastearate Triacetate,,식약처 등재,,"이 원료는 스테아릭애씨드, 아세틱애씨드 및 수크로오스의 에스터의 혼합물이다.",슈크로오스테트라스테아레이트트리아세테이트,B (식약처)
수크로오스테트라아이소스테아레이트,Sucrose Tetraisostearate,,식약처 등재,,이 원료는 주로 테트라에스터로 구성된 수크로오스와 아이소스테아릭애씨드의 에스터의 혼합물이다.,슈크로오스테트라이소스테아레이트,B (식약처)
수크로오스트라이베헤네이트,Sucrose Tribehenate,,식약처 등재,,이 원료는 베헤닉애씨드와 수크로오스의 트라이에스터이다.,슈크로오스트리베헤네이트,B (식약처)
수크로오스트라이스테아레이트,Sucrose Tristearate,,식약처 등재,,이 원료는 스테아릭애씨드와 수크로오스의 트라이에스터이다.,슈크로오스트리스테아레이트,B (식약처)
수크로오스팔미테이트,Sucrose Palmitate,,식약처 등재,,이 원료는 수크로오스와 팔미틱애씨드의 모노에스터이다.,슈크로오스팔미테이트,B (식약처)
수크로오스펜타에루케이트,Sucrose Pentaerucate,,식약처 등재,,이 원료는 에루씩애씨드와 수크로오스의 펜타에스터이다.,슈크로오스펜타에루케이트,B (식약처)
수크로오스폴리리놀리에이트,Sucrose Polylinoleate,,식약처 등재,,이 원료는 리놀레익애씨드와 수크로오스의 에스터의 혼합물이다.,슈크로오스폴리리놀리에이트,B (식약처)
수크로오스폴리베헤네이트,Sucrose Polybehenate,,식약처 등재,,이 원료는 베헤닉애씨드와 수크로오스의 에스터의 혼합물이다.,슈크로오스폴리베헤네이트,B (식약처)
글리세릴트라이베헤네이트/아이소스테아레이트/에이코산디오에이트,Glyceryl Tribehenate/Isostearate/Eicosandioate,,식약처 등재,,"이 원료는 베헤닉애씨드, 아이소스테아릭애씨드 및 에이코산디오익애씨드의 혼합물로 글리세린의 트라이에스터이다.",글리세릴트리베헤네이트/이소스테아레이트/에이코산디오에이트,B (식약처)
수크로오스폴리소이에이트,Sucrose Polysoyate,,식약처 등재,,이 원료는 소이애씨드와 수크로오스의 에스터의 혼합물이다.,슈크로오스폴리소이에이트,B (식약처)
수크로오스폴리스테아레이트,Sucrose Polystearate,,식약처 등재,,이 원료는 스테아릭애씨드와 수크로오스의 에스터의 혼합물이다.,슈크로오스폴리스테아레이트,B (식약처)
수크로오스폴리코튼씨데이트,Sucrose Polycottonseedate,,식약처 등재,,이 원료는 코튼씨드애씨드와 수크로오스의 에스터의 혼합물이다.,슈크로오스폴리코튼씨데이트,B (식약처)
수크로오스헥사올리에이트/헥사팔미테이트/헥사스테아레이트,Sucrose Hexaoleate/Hexapalmitate/Hexastearate,,식약처 등재,,"이 원료는 수크로오스와 올레익, 팔미틱 및 스테아릭애씨드의 헥사에스터이다.",슈크로오스헥사올리에이트/헥사팔미테이트/헥사스테아레이트,B (식약처)
스왐프페이퍼바크잎오일,Melaleuca Ericifolia Leaf Oil,,식약처 등재,,이 원료는 Melaleuca ericifolia의 잎을 증류하여 얻은 휘발성 오일이다.,,B (식약처)
스위트브라이어씨오일,Rosa Rubiginosa Seed Oil,,식약처 등재,,이 원료는 스위트브라이어 Rosa rubiginosa의 씨를 압착하여 얻은 오일이다.,스위트브라이어씨오일,B (식약처)
스위트아몬드껍질가루,Prunus Amygdalus Dulcis (Sweet Almond) Shell Powder,,식약처 등재,,이 원료는 스위트아몬드 (Prunus amygdalus dulcis)의 씨껍질에서 얻은 가루이다.,,B (식약처)
스위트아몬드단백질,Prunus Amygdalus Dulcis (Sweet Almond) Protein,,식약처 등재,,이 원료는 스위트아몬드 (Prunus amygdalus dulcis)에서 얻은 단백질이다.,,B (식약처)
스위트아몬드씨드케이크,Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal,,식약처 등재,,이 원료는 스위트아몬드(Sweet Almond) Prunus amygdalus dulcis의 건조된 씨를 압착하여 얻은 잔류물(깻묵)이다.,스위트아몬드씨가루,B (식약처)
스위트아몬드추출물,Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract,,식약처 등재,,이 원료는 스위트아몬드(Sweet Almond) Prunus amygdalus dulcis의 씨에서 추출한 것이다.,스위트아몬드씨추출물,B (식약처)
글리세릴트라이아세틸리시놀레이트,Glyceryl Triacetyl Ricinoleate,,식약처 등재,,이 원료는 다음의 구조를 갖는 글리세린과 아세틸리시놀레익애씨드의 트라이에스터이다.,글리세릴트리아세틸리시놀리에이트,B (식약처)
스위트아몬드열매추출물,Prunus Amygdalus Dulcis (Sweet Almond) Fruit Extract,,식약처 등재,,이 원료는 스위트아몬드 (Prunus amygdalus dulcis)의 열매에서 추출한 것이다.,,B (식약처)
스위트아몬드오일,Prunus Amygdalus Dulcis (Sweet Almond) Oil,,식약처 등재,,이 원료는 스위트아몬드 (Prunus amygdalus dulcis)의 커넬에서 얻은 오일이다.,,B (식약처)
스위트아몬드오일폴리글리세릴-6에스터,Sweet Almond Oil Polyglyceryl-6 Esters,,식약처 등재,,이 원료는 스위트아몬드오일과 폴리글리세린-6의 에스터교환반응으로 얻은 것이다.,,B (식약처)
스위트피꽃추출물,Lathyrus Odoratus Flower Extract,,식약처 등재,,이 원료는 스위트피 (Lathyrus odoratus)의 꽃에서 추출한 것이다.,,B (식약처)
스키마 왈리키이껍질추출물,Schima Wallichii Bark Extract,,식약처 등재,,이 원료는 Schima Wallichii의 껍질에서 추출한 것이다.,스치마 왈리치껍질추출물,B (식약처)
스쿠알란,Squalane,,식약처 등재,,이 원료는 포화된 분지형 탄화수소이며 상어 간유 혹은 다른 천연 오일에 수소첨가하여 얻는다.,,B (식약처)
스쿠알렌,Squalene,,식약처 등재,,이 원료는 상어 간유에서 다량으로 발견되는 불포화된 분지형 이소프레노이드 탄화수소이다.,,B (식약처)
스클라레올라이드,Sclareolide,,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
스클레로튬검,Sclerotium Gum,,식약처 등재,,이 원료는 Sclerotium rolfssii 균으로 얻은 폴리사카라이드검이며 글루코오스모노머로 구성된다.,,B (식약처)
스타이렌/디브이비크로스폴리머,Styrene/DVB Crosspolymer,,식약처 등재,,이 원료는 스타이렌과 디비닐벤젠모노머의 교차 중합체이다.,,B (식약처)
글리세릴트라이아세틸하이드록시스테아레이트,Glyceryl Triacetyl Hydroxystearate,,식약처 등재,,이 원료는 다음의 구조를 갖는 글리세린과 아세틸하이드록시스테아릭애씨드의 트라이에스터이다.,글리세릴트리아세틸하이드록시스테아레이트,B (식약처)
스타이렌/부타디엔코폴리머,Styrene/Butadiene Copolymer,,식약처 등재,,이 원료는 스타이렌과 부타디엔모노머의 공중합체이다.,,B (식약처)
스타이렌/브이피코폴리머,Styrene/VP Copolymer,,식약처 등재,,이 원료는 비닐피롤리돈과 스타이렌모노머의 공중합체이다.,,B (식약처)
스타이렌/아크릴레이트/아크릴로나이트릴코폴리머,Styrene/Acrylates/Acrylonitrile Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그 단순에스터로 구성된 모노머와 스타이렌 및 아크릴로나이트릴과의 폴리머이다.",,B (식약처)
스타이렌/아크릴레이트/암모늄메타크릴레이트코폴리머,Styrene/Acrylates/Ammonium Methacrylate Copolymer,,식약처 등재,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그 단순에스터로 구성된 모노머와 스타이렌 및 암모늄메타크릴레이트과의 폴리머이다.",,B (식약처)
스타이렌/아크릴레이트코폴리머,Styrene/Acrylates Copolymer,,식약처 등재,,이 원료는 아크릴릭애씨드 및 메타크릴릭애씨드 또는 그 단순에스터로 구성된 모노머 및 스타이렌과의 폴리머이다.,,B (식약처)
스타이렌/아크릴아마이드코폴리머,Styrene/Acrylamide Copolymer,,식약처 등재,,이 원료는 스타이렌과 아크릴아마이드 모노머로 된 폴리머이다.,,B (식약처)
스타이렌/아이소프렌코폴리머,Styrene/Isoprene Copolymer,,식약처 등재,,이 원료는 스티렌과 아이소프렌 모노머의 공중합체이다.,스타이렌/이소프렌코폴리머,B (식약처)
스타치아세테이트,Starch Acetate,,식약처 등재,,이 원료는 전분과 아세틱애씨드를 반응하여 얻은 것이다.,,B (식약처)
스타치하이드록시프로필트라이모늄클로라이드,Starch Hydroxypropyltrimonium Chloride,,식약처 등재,,"이 원료는 전분과 2,3-에폭시프로필트라이메틸암모늄클로라이드의 반응으로 얻은 4급 암모늄화합물이다.",스타치하이드록시프로필트리모늄클로라이드,B (식약처)
스테비아잎/줄기추출물,Stevia Rebaudiana Leaf/Stem Extract,,식약처 등재,,이 원료는 스테비아 (Stevia rebaudiana)의 잎 및 줄기에서 추출한 것이다.,,B (식약처)
감꼭지추출물,Diospyros Kaki Calyx Extract,,식약처 등재,,이 원료는 감나무 Diospypros kaki의 꼭지에서 추출한 것이다.,,B (식약처)
글리세릴트라이팔메이트/팜커넬레이트/올리베이트/마카다미에이트/레이프씨데이트,Glyceryl Tripalmate/Palm Kernelate/Olivate/Macadamiate/Rapeseedate,,식약처 등재,,"이 원료는 팜오일, 팜커넬오일, 올리브오일, 마카다미아씨오일, 유채씨오일에서 유래된 지방산의 혼합물과 글리세린의 트라이에스터이다.",글리세릴트리팔메이트/팜커넬레이트/올리베이트/마카다미에이트/레이프씨데이트,B (식약처)
에우파토리움 레바우디아눔잎추출물,Eupatorium Rebaudianum Leaf Extract,,식약처 등재,,이 원료는 Eupatorium rebaudianum의 잎에서 추출한 것이다.,스테비아잎추출물,B (식약처)
